,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,month,DayOfWeek,hour,season,weekday,term_time,term_week,IsHoliday,Cluster,prob_1,prob_2
1324,2022-03-29,57.24749851226807,58.24499797821045,57.4749984741211,56.994998931884766,57.1324987411499,108.16249656677246,138.01249885559082,168.63249588012695,175.84749603271484,201.91749572753903,217.16249465942383,215.24999237060547,205.46999740600583,205.7349967956543,203.4499931335449,182.33749771118164,145.26499557495117,135.2399940490723,130.5424976348877,136.71749877929688,146.5474967956543,97.10249900817873,62.13499736785889,53.91749858856201,3,1,0,2,1,1,1,1,1,0.0,1.0
1325,2014-09-20,62.80749988555908,62.68749904632568,63.05999851226807,63.26249885559082,63.46499729156494,63.5649995803833,53.23749923706055,94.5774974822998,92.43999671936037,95.65999984741212,97.79499626159668,93.60499954223631,94.69749641418456,91.86000061035156,88.42499732971191,85.4799976348877,87.63749694824219,71.3274974822998,73.5,83.98499870300293,63.469998359680176,59.9774980545044,60.07499980926514,60.73499870300293,9,5,0,4,0,1,0,0,0,0.99,0.01
1326,2018-03-23,78.85750007629395,79.2349967956543,78.13749885559082,79.59499740600586,79.67749786376953,78.30000114440918,105.79499816894533,145.7699966430664,158.51499938964844,165.79499435424805,175.3124961853027,175.69499588012695,174.8224983215332,167.8499984741211,163.18499755859375,169.50249862670898,159.89999771118164,135.18499374389648,131.57999801635742,147.54999923706055,140.8424949645996,135.1474952697754,95.11499977111816,84.2599983215332,3,4,0,2,1,1,1,1,1,0.0,1.0
1327,2013-01-07,69.1825008392333,70.0974979400634,67.6199970245362,66.9524993896484,52.5999984741211,73.979998588562,83.4174976348877,92.0899982452392,100.522497177124,98.4674968719482,109.8299980163574,112.274995803833,122.0499973297119,119.1474952697754,107.49499893188492,104.8624973297118,88.0449981689453,59.1774978637695,52.1374979019164,51.4299983978271,52.064998626709,62.704998970031696,68.4374980926514,66.8049983978271,1,0,0,1,1,1,1,1,0,0.996,0.004
1328,2023-11-08,63.52499866485596,63.97999954223633,56.83249855041504,51.61249923706055,54.844998359680176,59.81500053405762,80.68749618530273,108.9849967956543,113.78249740600586,103.90999794006348,113.52249717712402,113.7024974822998,99.0199966430664,102.8349952697754,119.09749794006348,96.65249824523926,82.3224983215332,76.73749923706055,59.64749813079834,58.05999946594238,67.7299976348877,61.16999912261963,56.96749877929688,51.629998207092285,11,2,0,4,1,1,1,1,1,0.0,1.0
1329,2013-10-24,59.93249797821045,59.68499851226807,59.91499996185303,59.08999919891357,58.48249912261963,104.64499855041504,118.55499649047852,148.32749938964844,159.85249710083008,168.67499542236328,179.24749755859375,175.76499557495117,158.75249481201172,168.94249725341797,168.1824951171875,165.51499938964844,128.61749839782715,123.77249717712402,127.02749633789062,114.20999717712402,109.3549976348877,69.56999683380127,63.42249774932861,63.479997634887695,10,3,0,4,1,1,1,1,1,0.0,1.0
1330,2022-09-18,48.179999351501465,48.02999877929688,48.054999351501465,48.16749858856201,48.084999084472656,50.61250019073486,43.66499900817871,52.594998359680176,57.86499977111816,58.68999862670898,59.84999942779541,53.992499351501465,47.56750011444092,59.82250022888184,67.71249961853027,68.32250022888184,67.49749946594238,58.67999839782715,48.08749961853027,51.63499927520752,50.0049991607666,49.41499900817871,48.93499946594238,50.15999794006348,9,6,0,4,0,1,0,0,0,0.988,0.012
1331,2013-04-19,73.6399993896484,73.8649978637695,72.47249984741211,72.5799980163574,72.57499885559079,92.4599990844727,105.3799991607666,114.6649990081788,130.86749649047852,159.0599975585938,167.4724998474121,162.757495880127,163.2749977111816,161.3199996948242,156.9174957275391,153.5124969482422,143.3649978637695,131.6099967956543,128.0699977874755,135.80499649047852,157.757495880127,126.3699951171876,114.7524967193603,114.6949977874756,4,4,0,2,1,1,1,1,1,0.0,1.0
1332,2015-11-13,68.01000022888184,67.11499786376953,65.81249809265137,67.25749969482422,66.02249908447266,66.69999885559082,98.0524959564209,133.30999565124512,156.36749649047852,170.27499771118164,170.72749710083008,176.80999374389648,172.31499481201172,165.10499572753906,167.32250213623047,174.49749755859375,161.98749542236328,156.0224952697754,145.2349967956543,142.30999755859375,135.78999710083008,122.8499984741211,80.60999870300293,68.25749969482422,11,4,0,4,1,1,1,1,1,0.0,1.0
1333,2018-03-06,76.87749671936035,76.94499778747559,75.34749794006348,76.75499725341797,56.68999862670898,55.74999809265137,56.75249862670898,59.21249961853027,61.43499851226807,61.78749752044678,62.04499816894531,60.87499904632568,63.58999919891357,61.2524995803833,60.859999656677246,60.192498207092285,60.82749843597412,61.04499816894531,56.39249897003174,56.50749969482422,57.929999351501465,73.80249977111816,76.54999923706055,76.5099983215332,3,1,0,2,1,1,1,1,0,1.0,0.0
1334,2023-09-09,55.44749927520752,54.33999919891357,53.05999946594238,53.69999885559082,54.60999870300293,55.52999877929688,65.02750015258789,80.44499969482422,69.39749908447266,71.95999908447266,85.94999694824219,98.48999786376952,91.52999877929688,88.80749702453613,86.98749923706055,87.86749839782715,84.92499732971191,67.0024995803833,59.88999843597412,58.41499710083008,63.58999729156494,56.39749813079834,53.59749889373779,55.11249923706055,9,5,0,4,0,1,0,0,0,0.703,0.297
1335,2023-01-15,57.85499954223633,58.78499889373779,52.52999973297119,51.74749946594238,52.30499839782715,52.27749919891357,52.84999847412109,52.88249778747559,48.99999809265137,38.49749946594238,39.08249950408935,47.28499889373779,51.772499084472656,52.83749866485597,50.07749843597412,49.71749877929688,43.767499923706055,58.13749980926514,58.16249752044678,66.85999965667725,64.46999835968018,66.37499809265137,58.29249858856201,54.80249881744385,1,6,0,1,0,1,0,0,1,0.0,1.0
1336,2013-08-14,96.68749618530272,88.71249771118164,86.48499870300293,84.97249794006348,85.74499702453613,96.80999755859376,111.3874969482422,140.64749336242676,146.12749481201172,145.38750076293945,150.3249969482422,146.61749649047852,143.2874984741211,145.0724983215332,134.8624973297119,120.55749702453612,104.56999588012695,81.6974983215332,75.59499740600586,73.80499839782715,80.52999877929688,73.17999839782715,70.71249771118164,72.96999931335449,8,2,0,3,1,0,0,0,1,0.0,1.0
