,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,building,month,DayOfWeek,hour,season,weekday,term_time,term_week,IsHoliday,Cluster,prob_1,prob_2,prob_3,prob_4,prob_5,building_code
7038,2019-04-17,4.859999895095825,4.28249990940094,3.9374998807907104,3.9349998235702515,3.5674999356269836,4.764999866485596,5.444999814033508,7.537499904632569,7.759999752044678,6.609999775886536,7.1524999141693115,7.264999985694885,8.484999537467957,6.137499809265137,4.824999928474426,6.554999828338623,7.2149999141693115,11.180000066757202,10.867499828338623,10.779999494552612,10.712499856948853,10.142499685287476,8.524999856948853,5.502499938011169,Glenomenab10,4,2,0,2,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,3
7039,2018-08-10,5.109999895095825,4.379999995231628,3.994999945163727,3.5224998593330383,3.734999895095825,4.432499885559082,5.422499775886536,6.229999899864197,5.922499775886536,5.897499918937683,4.4974998235702515,4.179999947547913,4.212499976158142,5.067499756813049,3.919999897480011,3.8899998664855957,3.84499990940094,4.572499871253967,4.5224997997283936,4.644999980926514,4.472499847412109,4.754999995231628,4.007499933242798,3.617499887943268,Glenomenab9,8,4,0,3,1,0,0,0,3,0.0,0.0,0.0,1.0,0.0,2
7040,2023-02-07,58.82499885559082,58.897499084472656,58.80000019073486,57.53249931335449,44.269999504089355,41.019999504089355,37.12249946594238,37.03749942779541,37.584999084472656,41.50749969482422,43.40499782562256,50.374999046325684,57.41749858856201,49.057498931884766,40.527499198913574,40.804999351501465,44.39249897003174,44.14749813079834,43.397499084472656,51.717498779296875,49.03999900817871,55.797499656677246,52.42999839782715,52.067498207092285,Quinn_Business,2,1,0,1,1,1,1,1,4,0.0,0.0,0.0,0.0,1.0,1
7041,2019-07-10,20.75,20.8149995803833,20.30999994277954,20.517499923706055,16.78249979019165,23.16999912261963,28.174999237060547,43.69749927520752,55.04999828338623,62.99499988555908,61.8125,52.98999786376953,44.60749912261963,54.1949987411499,55.272499084472656,50.3149995803833,37.912498474121094,33.9424991607666,28.28499937057495,23.994999408721924,23.674999237060547,24.38749933242798,21.34499979019165,21.114999771118164,Sutherland_Law,7,2,0,3,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4
7042,2017-12-11,9.452499628067017,7.312499880790711,6.579999804496765,6.302499890327454,5.919999957084656,5.897499918937683,6.5899999141693115,7.852499723434448,9.277499914169312,10.217499732971191,9.529999494552612,10.934999704360962,12.197499752044678,12.864999771118164,11.432499885559082,10.44249963760376,10.614999771118164,11.8774995803833,15.109999656677246,13.249999761581421,13.397499561309814,13.404999732971191,12.589999675750732,11.247499942779541,Glenomenab9,12,0,0,1,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,2
7043,2018-11-16,23.059999465942383,22.322499752044678,22.69499969482422,22.1875,22.492499351501465,22.954999446868896,29.582499504089355,47.01249980926514,55.369998931884766,70.6924991607666,74.5524959564209,69.14249801635742,70.42999649047852,73.1974983215332,79.85750007629396,66.26499843597412,61.35749912261963,55.3174991607666,47.04499912261963,40.60249900817871,36.88499927520752,34.064998626708984,25.187499523162842,22.677499771118164,Sutherland_Law,11,4,0,4,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,4
7044,2019-01-29,5.742499947547913,4.3124998807907104,3.984999895095825,3.4974998831748962,3.2549999356269836,3.497499942779541,5.3374998569488525,5.607499837875366,6.604999899864197,7.622499823570252,7.759999871253968,8.954999566078186,7.854999899864197,6.904999852180481,6.492499828338624,8.947499871253967,7.569999814033509,8.047499895095825,13.634999752044678,12.505000114440918,10.274999856948853,10.994999647140503,9.742499828338623,6.9599997997283936,Glenomenab10,1,1,0,1,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,3
7045,2023-12-14,6.952499866485596,5.4375,4.189999938011169,3.859999895095825,3.6474998593330383,3.5274999141693115,4.877499938011169,6.862499952316284,7.479999780654907,7.759999871253967,8.12999975681305,6.484999775886536,6.529999852180481,7.202499866485597,9.959999799728394,8.75249981880188,8.40749979019165,7.2824997901916495,10.247499942779541,8.049999713897705,9.644999980926514,9.582499980926514,10.494999647140503,8.894999742507935,Glenomenab9,12,3,0,1,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,2
7046,2018-08-05,17.11499983072281,16.279999613761902,15.494999647140503,14.1624995470047,18.369999527931213,31.314607977867126,18.408124715089798,15.081796788144857,15.442968608811498,20.06445280648768,21.093124892562628,30.299921792466193,35.22398432251066,36.09929686971009,24.873515574727207,29.088046865537763,22.908437479287386,20.44382792012766,42.003124080598354,63.769841611385345,66.41226428747177,147.59749555587769,72.99999761581421,26.322499215602875,Ashfield,8,6,0,3,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5
7047,2023-07-10,64.59249877929688,72.64249801635742,73.35999870300293,60.76999759674072,57.7899980545044,61.21249866485596,81.14249801635742,92.75249862670898,105.26249885559082,105.74249649047852,91.21749877929688,89.12249755859375,92.08749771118164,91.13249969482423,77.79999732971191,76.57499694824219,65.58999824523926,57.48499870300293,66.49249839782715,57.1299991607666,56.01249885559082,54.959999084472656,55.47999858856201,61.51249885559082,Quinn_Business,7,0,0,3,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,1
